mae,rmse,r2,categoria,modelo,start
6.714285714285714,7.7182529481371995,-0.17796610169491522,Herramientas,BaselineHybrid,0
6.225714285714285,7.123751018349012,-0.003488135593220587,Herramientas,RandomForest,0
47.12244897959183,51.208058995849946,-4.317895869547223,Ocio,BaselineHybrid,0
23.749999999999996,25.946806850059325,-0.3653092666170017,Ocio,RandomForest,0
39.39795918367347,52.735042371060544,-0.14788942988071963,Ocio,BaselineHybrid,7
41.59571428571428,58.455238919560124,-0.41041961132825655,Ocio,RandomForest,7
122.24489795918369,135.2732683971861,-0.0043055555555555625,Productividad,BaselineHybrid,0
124.00571428571428,136.6349940535001,-0.02462696953405019,Productividad,RandomForest,0
94.13265306122447,102.65120753387788,-0.006001508048771864,Productividad,BaselineHybrid,7
102.37857142857145,113.81448407700262,-0.23670345701671303,Productividad,RandomForest,7
60.92857142857143,82.04332479158279,-0.4168195212893915,Productividad,BaselineHybrid,14
73.37714285714286,78.64954890434619,-0.30202853019004094,Productividad,RandomForest,14
104.79591836734694,109.13846288835414,-0.009731429836823402,Productividad,BaselineHybrid,21
103.15714285714286,108.61390992212475,-4.859659806522032e-05,Productividad,RandomForest,21
19.795918367346935,21.880939426909478,-0.03989361702127692,Redes Sociales,BaselineHybrid,0
19.28714285714286,22.847008869559147,-0.13374578457446828,Redes Sociales,RandomForest,0
11.13265306122449,13.285138236359593,-0.012912860154602912,Redes Sociales,BaselineHybrid,7
20.67142857142857,24.52657450894554,-2.4523412977278047,Redes Sociales,RandomForest,7
23.867346938775512,32.42392981255968,-0.3925028382981026,Redes Sociales,BaselineHybrid,14
29.5,38.49242968243422,-0.9625260853111315,Redes Sociales,RandomForest,14
19.428571428571427,19.927419321536007,-19.22661122661123,Sin categoría,BaselineHybrid,0
18.775714285714283,19.291451474681732,-17.956179729729726,Sin categoría,RandomForest,0
15.0,15.084117880900358,-88.91129032258063,Sin categoría,BaselineHybrid,7
2.5214285714285714,2.6356430497535674,-1.7450330645161287,Sin categoría,RandomForest,7
10.561224489795919,18.1840084487801,-0.3601620214909338,Sin categoría,BaselineHybrid,14
11.257142857142858,19.097943045559347,-0.5003223640026864,Sin categoría,RandomForest,14
29.377551020408166,37.295360000287175,-0.441667019206363,Trabajo,BaselineHybrid,0
49.16142857142859,58.152062609285714,-2.5049804742363997,Trabajo,RandomForest,0
30.795918367346935,32.30435618568227,-0.027508740907446816,Trabajo,BaselineHybrid,7
41.75,50.64760253809793,-1.5256963087248328,Trabajo,RandomForest,7
22.86734693877551,26.557696144240293,-0.8881255463286708,Trabajo,BaselineHybrid,14
16.561428571428568,19.343490230196675,-0.0016586593094403135,Trabajo,RandomForest,14
27.52040816326531,35.04698013133986,-0.000502859232662134,Trabajo,BaselineHybrid,21
30.758571428571432,36.01739718524924,-0.056675844471042236,Trabajo,RandomForest,21
